0.000,39.679,29.754,242.423,2796.133,79.919,30.242,1760.755,2803.940,0.000,8.348,185.242,15.176,4.319,8.345,82.335,41.077,201.088,1.481,10.291,54.631,63.700,1.723
121.286,0.000,7.345,1380.344,20.093,79.320,222.854,19.724,18.564,0.000,70.455,1344.278,100.276,1.418,2.932,27.091,341.556,1390.523,175.280,14.141,124.475,43.612,0.005
150.755,48.959,0.000,484.119,7.928,0.031,82.475,1.930,7.386,0.000,1908.211,115.341,14.747,453.698,0.641,10.971,225.988,1622.349,12.454,4.307,88.809,35.172,0.477
682.344,578.420,4.806,0.000,21.935,0.671,470.688,9.639,28.034,0.000,123.969,189.361,0.000,67.660,11.632,21.363,491.684,124.269,107.002,51.115,304.019,75.028,0.000
4.676,1608.755,0.428,81.625,0.000,0.023,2.207,10.849,44.310,0.000,17.910,3792.515,28.125,0.265,2.438,7.997,879.262,39.321,1.535,72.130,8.544,92.333,0.015
0.466,24.687,0.000,1.439,0.110,0.000,0.263,0.138,0.153,0.000,0.133,112.854,0.282,0.000,0.011,0.004,12.836,0.405,0.042,0.234,0.125,0.724,0.000
282.205,252.406,10.838,437.169,26.136,0.004,0.000,4.159,18.690,0.000,29.326,71.995,18.606,1.136,2.930,10.026,124.949,28.123,11.184,3.296,118.913,35.230,4.550
0.707,1440.325,0.193,88.821,138.006,0.009,0.558,0.000,13.991,0.000,2.652,3571.498,26.431,0.000,27.053,6.033,1000.426,0.605,0.449,18.441,17.473,11.520,10.778
73.820,1890.683,0.612,114.900,132.068,0.260,2.054,12.364,0.000,0.000,6.962,5399.893,64.292,0.270,122.913,11.368,1450.577,5.103,0.452,24.681,18.296,162.227,0.850
14.386,499.948,186.200,0.000,10.421,0.037,84.729,15.008,23.043,0.000,26.418,120.134,0.000,10.958,17.102,25.763,383.545,52.800,19.365,24.715,140.323,89.264,0.000
4.576,1707.450,15.811,187.218,10.995,0.011,4.164,21.046,8.648,0.000,0.000,4472.984,33.422,0.509,2.952,11.370,1242.822,4.520,0.396,10.528,27.170,45.024,1.791
77.132,1174.964,42.009,1495.691,73.427,0.050,40.390,108.570,59.785,0.000,56.649,0.000,229.738,34.406,53.307,43.350,761.596,70.351,87.423,116.097,261.905,172.730,3.500
58.234,1631.744,103.316,0.270,263.262,1.000,145.101,141.685,263.187,0.000,161.292,626.476,0.000,49.811,29.503,105.339,593.575,77.921,154.601,160.552,307.860,199.454,1.560
0.707,73.423,1.902,41.843,5.132,0.000,0.523,0.000,0.100,0.000,0.899,209.033,1.096,0.000,0.000,0.521,82.400,11.347,0.022,1.796,1.057,0.121,0.010
4.086,2.847,0.214,64.974,4.007,0.000,0.691,9.172,13.641,0.000,0.214,15.681,22.814,0.000,0.000,0.000,1.290,0.053,0.222,0.000,35.112,0.000,0.018
144.862,11.359,0.253,93.710,106.801,0.000,30.476,84.329,82.310,0.000,2.103,36.189,10.059,3.943,0.000,0.000,28.429,0.645,36.987,0.000,8.641,0.000,0.183
97.157,144.220,161.522,678.704,2962.338,3.333,252.747,1825.723,2573.762,0.000,1494.180,171.246,27.574,396.542,0.294,29.478,0.000,13.076,4.716,35.856,244.840,71.738,4.486
9.560,393.373,3.978,22.765,12.868,0.000,1.796,1.525,2.699,0.000,3.425,1358.333,2.038,0.261,0.816,1.907,334.806,0.000,7.341,0.957,11.125,5.968,0.043
14.036,211.811,0.187,229.810,0.178,0.296,74.565,1.301,5.594,0.000,3.668,162.055,40.334,0.004,0.019,46.176,25.512,2.591,0.000,29.847,19.699,10.474,0.127
2.379,57.180,12.697,134.625,34.309,0.404,3.020,41.903,87.245,0.000,3.816,172.878,26.584,0.768,0.000,0.000,23.813,4.798,1.082,0.000,7.644,0.000,0.446
16.103,116.793,23.140,594.121,10.111,0.093,36.092,3.177,11.986,0.000,7.362,180.017,9.925,0.759,2.972,3.820,57.615,43.866,4.723,11.919,0.000,25.324,1.614
10.819,22.477,4.982,171.363,81.267,0.123,4.988,60.839,36.416,0.000,46.001,125.834,37.591,1.514,0.000,0.064,69.443,33.708,0.915,0.000,20.620,0.000,1.532
0.467,0.600,2.577,9.863,0.156,0.000,3.460,0.464,0.415,0.000,0.241,4.146,3.197,0.005,0.889,0.059,1.638,0.711,0.417,1.534,42.527,0.719,0.000
